pcp,insure,smoke,obese,healthfood,male,lt55,white,edu,unemploy,hhinc,commute,compressor,logMortRate
1042,18.28437892,9.1,14.6,3.989261326,51.04,69.58,84.6,32.07,8.03,59454,21,0,-0.579818495
1784,13.29926233,10.5,15.4,1.533712836,49.19,73.19,56.38,44.97,7.41,91421,26,0,-0.478035801
1253,22.22141084,10.5,15,2.95770495,50.14,75.64,74.03,31.42,8.91,63409,19,0,-0.46203546
4084,13.30564616,10.3,16.2,1.266009996,50.22,77.4,49.27,47.32,8.82,93854,26,0,-0.430782916
853,18.13151649,10.1,11,4.035085692,49.71,73.78,80.77,37.48,8.73,66923,26,0,-0.562118918
793,18.10671139,25.1,19.9,7.41295986,49.12,67.21,87.14,19.12,12.22,44556,20,0,-0.579818495
270,20.0106979,23.8,19.8,8.444224914,49.75,61.15,86.11,23.97,14.38,37495,18,0,-0.597837001
896,14.2839099,13.5,20.6,4.068232377,49.78,74.64,53.76,24.27,12.08,67341,30,0,-0.673344553
1820,17.9852137,14,13.7,3.823031471,49.07,70.15,78.7,32.57,9.58,63799,25,0,-0.693147181
1305,20.14668587,17.1,20.5,4.823790834,49.47,77.97,75.87,16.37,16.34,49573,27,0,-0.446287103
248,21.47596364,18.7,20.8,10.43895967,49.72,75.44,68.64,18.5,13.98,51527,27,0,-0.510825624
271,21.19691338,21.1,16.9,8.129370901,49.77,69.79,86.87,14.12,16.08,42369,24,0,-0.597837001
83,19.81140797,23.4,21,6.832989184,50.94,58.19,88.18,22.03,13.01,36862,18,0,-0.693147181
1168,24.17312684,14.5,21.6,8.05591299,50.07,80.73,81.09,13.28,13.51,42863,22,0,-0.385662481
295,15.84994674,19.1,19.3,8.690008969,52.3,60.66,88.01,19.78,15.18,48493,26,0,-0.562118918
2071,18.52546448,12.1,17,2.468680697,49.57,75.39,77.68,31.58,9.38,77335,25,0,-0.494296322
591,16.60117319,8.1,15,2.345370766,48.75,79.03,66.02,38.32,9.61,55508,22,0,-0.562118918
256,18.64068043,17.2,22.4,11.84080023,50.67,78.3,69.99,14.17,17.35,45470,30,0,-0.46203546
4545,21.69762492,16.2,20.4,7.462555844,49.73,80.11,62.84,18.76,13.91,54100,30,1,-0.371063681
5097,21.59693195,21.6,20.4,4.530165918,50.29,81.04,81.59,21.62,9.29,57421,29,1,-0.562118918
6279,17.74906599,15.4,16.5,3.53882185,49.12,76.9,73.66,39.37,8.13,62213,27,1,-0.562118918
371,20.27222108,20.4,17.1,7.740627043,50.41,59.41,87.61,35.33,9.2,48186,20,0,-0.776528789
158,17.41007194,26.7,22.5,12.65547028,67.6,71.79,80.75,7.51,10.09,39053,16,1,-0.478035801
597,20.01507159,17.3,20.7,2.714642564,48.9,76.36,84.82,24.14,10.66,31400,14,0,-0.385662481
610,11.1807078,12.6,15.3,1.280918486,49.55,77.44,86.9,49.49,6.01,80430,27,0,-0.562118918
576,19.52630767,20.3,15.6,1.857557676,52.77,60.43,93.7,34.21,6.14,48528,15,0,-0.634878272
252,13.23892426,18.6,16.8,2.375325375,51.61,63.64,94.37,40.79,7.3,68531,34,0,-0.713349888
338,22.2954578,21,19.8,2.205977255,49.66,69.57,89.62,20.18,9.24,37357,24,0,-0.430782916
141,28.77876106,19,21.5,55.34905971,52.68,58.16,89.63,18.22,15.13,33594,20,0,-0.446287103
156,22.21498371,15.4,21.2,8.158253555,51.08,45.46,95.98,34.81,12.78,32261,35,0,-0.820980552
850,21.65391157,23.7,20.8,1.663196619,50.35,62.12,94.87,18.93,12.13,42389,23,0,-0.510825624
6161,19.55978787,19.5,14.3,6.376195427,49.99,78.94,74.67,43.73,7.76,51800,24,0,-0.562118918
129,25.16717325,11.5,20.9,8.649281925,52.59,59.61,94.53,21.74,8.11,32578,21,1,-0.634878272
3777,7.737725992,8.3,11,1.59331607,49.61,80.13,90.94,55.93,4.75,102626,28,0,-0.597837001
632,22.96363712,9.5,10.4,4.227529944,53.96,81.44,89.76,47.29,5,73774,20,0,-0.891598119
1059,13.550017,15.2,19.6,6.536306182,49.91,71.22,95.54,29.53,7.38,82154,41,0,-0.597837001
3609,14.82973256,11.5,10.8,2.842224929,50.23,76.48,87.68,58.16,6.94,69407,22,0,-0.562118918
1250,17.74474662,27,19.1,10.35616432,58.46,66.63,86.38,15.87,9.22,40569,23,0,-0.510825624
939,24.64414575,18.4,13.8,4.806646289,51.28,77.92,88.55,29.27,7.64,57214,28,1,-0.579818495
340,23.62400906,13.8,13.6,2.137880034,54.19,77.03,95.8,54.36,8.78,51371,13,0,-0.713349888
257,20.09599332,30.9,25.8,11.22841097,49.66,54.22,80.32,28.87,14.33,32932,26,0,-0.46203546
7897,13.90991366,15.7,14.3,4.30672421,49.7,71.97,90.9,41.13,6.98,69698,27,0,-0.562118918
427,24.57823354,17.3,27.1,8.40367353,55.66,70.82,91.64,13.86,6.54,41495,12,0,-0.510825624
186,27.15659754,14.6,17.6,26.53723473,54.07,76.67,88.58,30.3,6.53,46174,27,0,-0.527632742
